"Longitude","Latitude","Elevation","Altitude","Clutter_height","Distance","Path_Loss"
3.163938525,6.677992375,54,61,4,346,"G"
3.163965419,6.678001695,54,61,4,348,"G"
3.163965419,6.678001695,54,61,4,348,"F"
3.163992421,6.678002016,54,61,4,349,"F"
3.163992421,6.678002016,54,61,4,349,"F"
3.164010315,6.678011229,55,61,4,351,"F"
3.164019315,6.678011336,55,61,4,351,"F"
3.164019315,6.678011336,55,61,4,351,"G"
3.164046317,6.678011656,55,61,4,352,"G"
3.164055211,6.678020762,55,61,4,354,"G"
3.164055211,6.678020762,55,61,4,354,"F"
3.164064211,6.678020869,55,61,4,354,"F"
3.164082212,6.678021083,55,61,4,355,"F"
3.164091213,6.67802119,55,61,4,355,"F"
3.164100213,6.678021297,55,61,4,356,"F"
3.164118107,6.67803051,55,61,4,357,"F"
3.164127108,6.678030617,55,61,4,358,"G"
3.164136108,6.678030724,55,61,4,358,"G"
3.164145109,6.678030831,55,61,4,359,"G"
3.164145109,6.678030831,55,61,4,359,"F"
3.164154109,6.678030938,55,61,4,359,"F"
3.164181004,6.678040258,55,61,4,361,"F"
3.164181004,6.678040258,55,61,4,361,"E"
3.164190004,6.678040365,55,61,4,362,"E"
3.164217006,6.678040686,56,61,4,363,"E"
3.1642259,6.678049791,56,61,4,364,"E"
3.164243901,6.678050005,56,61,4,365,"E"
3.164252901,6.678050112,56,61,4,365,"E"
3.164252901,6.678050112,56,61,4,365,"F"
3.164270795,6.678059325,56,61,4,367,"F"
3.164279796,6.678059432,56,61,4,368,"F"
3.164306797,6.678059753,56,61,4,369,"F"
3.164315798,6.67805986,56,61,4,369,"F"
3.164333692,6.678069073,56,61,4,371,"F"
3.164342693,6.67806918,56,61,4,372,"F"
3.164342693,6.67806918,56,61,4,372,"E"
3.164351693,6.678069287,56,61,4,372,"E"
3.164369694,6.678069501,56,61,4,373,"E"
3.164369694,6.678069501,56,61,4,373,"F"
3.164378695,6.678069608,56,61,4,374,"F"
3.164396589,6.67807882,56,61,4,375,"F"
3.164396589,6.67807882,56,61,4,375,"F"
3.164405589,6.678078927,56,61,4,376,"F"
3.164432591,6.678079248,56,62,4,377,"F"
3.164441591,6.678079355,56,62,4,378,"F"
3.164459485,6.678088568,56,62,4,380,"F"
3.164468486,6.678088675,56,62,4,380,"F"
